Sno,Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Latitude,Longitude
1,30-01-2020,Kerala,1,0,0,0,8.900372741,76.56999263
2,31-01-2020,Kerala,1,0,0,0,8.900372741,76.56999263
3,01-02-2020,Kerala,2,0,0,0,8.900372741,76.56999263
4,02-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
5,03-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
6,04-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
7,05-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
8,06-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
9,07-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
10,08-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
11,09-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
12,10-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
13,11-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
14,12-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
15,13-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
16,14-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
17,15-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
18,16-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
19,17-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
20,18-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
21,19-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
22,20-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
23,21-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
24,22-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
25,23-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
26,24-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
27,25-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
28,26-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
29,27-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
30,28-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
31,29-02-2020,Kerala,3,0,0,0,8.900372741,76.56999263
32,01-03-2020,Kerala,3,0,0,0,8.900372741,76.56999263
33,02-03-2020,Telengana,1,0,0,0,18.1124,79.0193
34,02-03-2020,Kerala,3,0,0,0,8.900372741,76.56999263
35,02-03-2020,Delhi,1,0,0,0,28.6699929,77.23000403
36,03-03-2020,Telengana,1,0,0,0,18.1124,79.0193
37,03-03-2020,Rajasthan,0,1,0,0,26.44999921,74.63998124
38,03-03-2020,Kerala,3,0,3,0,8.900372741,76.56999263
39,03-03-2020,Delhi,1,0,0,0,28.6699929,77.23000403
40,04-03-2020,Uttar Pradesh,6,0,0,0,27.59998069,78.05000565
41,04-03-2020,Kerala,3,0,3,0,8.900372741,76.56999263
42,04-03-2020,Haryana,0,2,0,0,28.45000633,77.01999101
43,04-03-2020,Delhi,1,0,0,0,28.6699929,77.23000403
44,04-03-2020,Telengana,1,0,0,0,18.1124,79.0193
45,04-03-2020,Rajasthan,1,14,0,0,26.44999921,74.63998124
46,05-03-2020,Delhi,2,0,0,0,28.6699929,77.23000403
47,05-03-2020,Haryana,0,2,0,0,28.45000633,77.01999101
48,05-03-2020,Kerala,3,0,3,0,8.900372741,76.56999263
49,05-03-2020,Rajasthan,1,14,0,0,26.44999921,74.63998124
50,05-03-2020,Telengana,1,0,0,0,18.1124,79.0193
51,05-03-2020,Uttar Pradesh,7,0,0,0,27.59998069,78.05000565
52,06-03-2020,Delhi,3,0,0,0,28.6699929,77.23000403
53,06-03-2020,Haryana,0,2,0,0,28.45000633,77.01999101
54,06-03-2020,Kerala,3,0,3,0,8.900372741,76.56999263
55,06-03-2020,Rajasthan,1,14,0,0,26.44999921,74.63998124
56,06-03-2020,Uttar Pradesh,7,0,0,0,27.59998069,78.05000565
57,06-03-2020,Telengana,1,0,0,0,18.1124,79.0193
58,07-03-2020,Kerala,3,0,3,0,8.900372741,76.56999263
59,07-03-2020,Uttar Pradesh,7,0,0,0,27.59998069,78.05000565
60,07-03-2020,Ladakh,2,0,0,0,34.1,77.34
61,07-03-2020,Telengana,1,0,0,0,18.1124,79.0193
62,07-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
63,07-03-2020,Delhi,3,0,0,0,28.6699929,77.23000403
64,07-03-2020,Haryana,0,2,0,0,28.45000633,77.01999101
65,07-03-2020,Rajasthan,1,14,0,0,26.44999921,74.63998124
66,08-03-2020,Ladakh,2,0,0,0,34.1,77.34
67,08-03-2020,Telengana,1,0,0,0,18.1124,79.0193
68,08-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
69,08-03-2020,Rajasthan,1,14,0,0,26.44999921,74.63998124
70,08-03-2020,Kerala,8,0,3,0,8.900372741,76.56999263
71,08-03-2020,Haryana,0,2,0,0,28.45000633,77.01999101
72,08-03-2020,Delhi,3,0,0,0,28.6699929,77.23000403
73,08-03-2020,Uttar Pradesh,7,0,0,0,27.59998069,78.05000565
74,09-03-2020,Ladakh,2,0,0,0,34.1,77.34
75,09-03-2020,Karnataka,1,0,0,0,12.57038129,76.91999711
76,09-03-2020,Kerala,9,0,3,0,8.900372741,76.56999263
77,09-03-2020,Maharashtra,2,0,0,0,19.25023195,73.16017493
78,09-03-2020,Punjab,1,0,0,0,31.51997398,75.98000281
79,09-03-2020,Rajasthan,1,14,0,0,26.44999921,74.63998124
80,09-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
81,09-03-2020,Telengana,1,0,0,0,18.1124,79.0193
82,09-03-2020,Jammu and Kashmir,1,0,0,0,33.45,76.24
83,09-03-2020,Uttar Pradesh,7,0,0,0,27.59998069,78.05000565
84,09-03-2020,Haryana,0,2,0,0,28.45000633,77.01999101
85,09-03-2020,Delhi,4,0,0,0,28.6699929,77.23000403
86,10-03-2020,Uttar Pradesh,7,0,0,0,27.59998069,78.05000565
87,10-03-2020,Ladakh,2,0,0,0,34.1,77.34
88,10-03-2020,Delhi,4,0,0,0,28.6699929,77.23000403
89,10-03-2020,Haryana,0,2,0,0,28.45000633,77.01999101
90,10-03-2020,Karnataka,4,0,0,0,12.57038129,76.91999711
91,10-03-2020,Kerala,15,0,3,0,8.900372741,76.56999263
92,10-03-2020,Maharashtra,5,0,0,0,19.25023195,73.16017493
93,10-03-2020,Punjab,1,0,0,0,31.51997398,75.98000281
94,10-03-2020,Rajasthan,1,14,0,0,26.44999921,74.63998124
95,10-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
96,10-03-2020,Telengana,1,0,0,0,18.1124,79.0193
97,10-03-2020,Jammu and Kashmir,1,0,0,0,33.45,76.24
98,11-03-2020,Maharashtra,2,0,0,0,19.25023195,73.16017493
99,11-03-2020,Delhi,5,0,0,0,28.6699929,77.23000403
100,11-03-2020,Haryana,0,14,0,0,28.45000633,77.01999101
101,11-03-2020,Kerala,17,0,3,0,8.900372741,76.56999263
102,11-03-2020,Rajasthan,1,2,0,0,26.44999921,74.63998124
103,11-03-2020,Telengana,1,0,0,0,18.1124,79.0193
104,11-03-2020,Uttar Pradesh,9,0,0,0,27.59998069,78.05000565
105,11-03-2020,Ladakh,2,0,0,0,34.1,77.34
106,11-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
107,11-03-2020,Jammu and Kashmir,1,0,0,0,33.45,76.24
108,11-03-2020,Punjab,1,0,0,0,31.51997398,75.98000281
109,11-03-2020,Karnataka,4,0,0,0,12.57038129,76.91999711
110,12-03-2020,Delhi,6,0,0,0,28.6699929,77.23000403
111,12-03-2020,Haryana,0,14,0,0,28.45000633,77.01999101
112,12-03-2020,Kerala,17,0,3,0,8.900372741,76.56999263
113,12-03-2020,Rajasthan,1,2,0,0,26.44999921,74.63998124
114,12-03-2020,Telengana,1,0,0,0,18.1124,79.0193
115,12-03-2020,Uttar Pradesh,10,1,0,0,27.59998069,78.05000565
116,12-03-2020,Ladakh,3,0,0,0,34.1,77.34
117,12-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
118,12-03-2020,Jammu and Kashmir,1,0,0,0,33.45,76.24
119,12-03-2020,Punjab,1,0,0,0,31.51997398,75.98000281
120,12-03-2020,Karnataka,4,0,0,0,12.57038129,76.91999711
121,12-03-2020,Maharashtra,11,0,0,0,19.25023195,73.16017493
122,12-03-2020,Andhra Pradesh,1,0,0,0,14.7504291,78.57002559
123,13-03-2020,Delhi,6,0,0,0,28.6699929,77.23000403
124,13-03-2020,Haryana,0,14,0,0,28.45000633,77.01999101
125,13-03-2020,Kerala,19,0,3,0,8.900372741,76.56999263
126,13-03-2020,Rajasthan,1,2,0,0,26.44999921,74.63998124
127,13-03-2020,Telengana,1,0,0,0,18.1124,79.0193
128,13-03-2020,Uttar Pradesh,10,1,0,0,27.59998069,78.05000565
129,13-03-2020,Ladakh,3,0,0,0,34.1,77.34
130,13-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
131,13-03-2020,Jammu and Kashmir,1,0,0,0,33.45,76.24
132,13-03-2020,Punjab,1,0,0,0,31.51997398,75.98000281
133,13-03-2020,Karnataka,6,0,0,1,12.57038129,76.91999711
134,13-03-2020,Maharashtra,14,0,0,0,19.25023195,73.16017493
135,13-03-2020,Andhra Pradesh,1,0,0,0,14.7504291,78.57002559
136,14-03-2020,Delhi,7,0,1,1,28.6699929,77.23000403
137,14-03-2020,Haryana,0,14,0,0,28.45000633,77.01999101
138,14-03-2020,Kerala,19,0,3,0,8.900372741,76.56999263
139,14-03-2020,Rajasthan,1,2,1,0,26.44999921,74.63998124
140,14-03-2020,Telengana,1,0,0,0,18.1124,79.0193
141,14-03-2020,Uttar Pradesh,11,1,5,0,27.59998069,78.05000565
142,14-03-2020,Ladakh,3,0,0,0,34.1,77.34
143,14-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
144,14-03-2020,Jammu and Kashmir,2,0,0,0,33.45,76.24
145,14-03-2020,Punjab,1,0,0,0,31.51997398,75.98000281
146,14-03-2020,Karnataka,6,0,0,1,12.57038129,76.91999711
147,14-03-2020,Maharashtra,14,0,0,0,19.25023195,73.16017493
148,14-03-2020,Andhra Pradesh,1,0,0,0,14.7504291,78.57002559
149,15-03-2020,Andhra Pradesh,1,0,0,0,14.7504291,78.57002559
150,15-03-2020,Delhi,7,0,2,1,28.6699929,77.23000403
151,15-03-2020,Haryana,0,14,0,0,28.45000633,77.01999101
152,15-03-2020,Karnataka,6,0,0,1,12.57038129,76.91999711
153,15-03-2020,Kerala,22,0,3,0,8.900372741,76.56999263
154,15-03-2020,Maharashtra,32,0,0,0,19.25023195,73.16017493
155,15-03-2020,Punjab,1,0,0,0,31.51997398,75.98000281
156,15-03-2020,Rajasthan,2,2,3,0,26.44999921,74.63998124
157,15-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
158,15-03-2020,Telengana,3,0,1,0,18.1124,79.0193
159,15-03-2020,Jammu and Kashmir,2,0,0,0,33.45,76.24
160,15-03-2020,Ladakh,3,0,0,0,34.1,77.34
161,15-03-2020,Uttar Pradesh,12,1,4,0,27.59998069,78.05000565
162,15-03-2020,Uttarakhand,1,0,0,0,30.32040895,78.05000565
163,16-03-2020,Andhra Pradesh,1,0,0,0,14.7504291,78.57002559
164,16-03-2020,Delhi,7,0,2,1,28.6699929,77.23000403
165,16-03-2020,Haryana,0,14,0,0,28.45000633,77.01999101
166,16-03-2020,Karnataka,6,0,0,1,12.57038129,76.91999711
167,16-03-2020,Kerala,23,0,3,0,8.900372741,76.56999263
168,16-03-2020,Maharashtra,32,0,0,0,19.25023195,73.16017493
169,16-03-2020,Odisha,1,0,0,0,19.82042971,85.90001746
170,16-03-2020,Punjab,1,0,0,0,31.51997398,75.98000281
171,16-03-2020,Rajasthan,2,2,3,0,26.44999921,74.63998124
172,16-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
173,16-03-2020,Telengana,3,0,1,0,18.1124,79.0193
174,16-03-2020,Jammu and Kashmir,3,0,0,0,33.45,76.24
175,16-03-2020,Ladakh,4,0,0,0,34.1,77.34
176,16-03-2020,Uttar Pradesh,12,1,4,0,27.59998069,78.05000565
177,16-03-2020,Uttarakhand,1,0,0,0,30.32040895,78.05000565
178,17-03-2020,Andhra Pradesh,1,0,0,0,14.7504291,78.57002559
179,17-03-2020,Delhi,8,0,2,1,28.6699929,77.23000403
180,17-03-2020,Haryana,1,14,0,0,28.45000633,77.01999101
181,17-03-2020,Karnataka,11,0,0,1,12.57038129,76.91999711
182,17-03-2020,Kerala,24,2,3,0,8.900372741,76.56999263
183,17-03-2020,Maharashtra,36,3,0,1,19.25023195,73.16017493
184,17-03-2020,Odisha,1,0,0,0,19.82042971,85.90001746
185,17-03-2020,Punjab,1,0,0,0,31.51997398,75.98000281
186,17-03-2020,Rajasthan,2,2,3,0,26.44999921,74.63998124
187,17-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
188,17-03-2020,Telengana,3,2,1,0,18.1124,79.0193
189,17-03-2020,Jammu and Kashmir,3,0,0,0,33.45,76.24
190,17-03-2020,Ladakh,6,0,0,0,34.1,77.34
191,17-03-2020,Uttar Pradesh,14,1,5,0,27.59998069,78.05000565
192,17-03-2020,Uttarakhand,1,0,0,0,30.32040895,78.05000565
193,18-03-2020,Andhra Pradesh,1,0,0,0,14.7504291,78.57002559
194,18-03-2020,Delhi,9,1,2,1,28.6699929,77.23000403
195,18-03-2020,Haryana,3,14,0,0,28.45000633,77.01999101
196,18-03-2020,Karnataka,11,0,0,1,12.57038129,76.91999711
197,18-03-2020,Kerala,25,2,3,0,8.900372741,76.56999263
198,18-03-2020,Maharashtra,39,3,0,1,19.25023195,73.16017493
199,18-03-2020,Odisha,1,0,0,0,19.82042971,85.90001746
200,18-03-2020,Puducherry,1,0,0,0,11.93499371,79.83000037
201,18-03-2020,Punjab,1,0,0,0,31.51997398,75.98000281
202,18-03-2020,Rajasthan,2,2,3,0,26.44999921,74.63998124
203,18-03-2020,Tamil Nadu,1,0,0,0,12.92038576,79.15004187
204,18-03-2020,Telengana,4,2,1,0,18.1124,79.0193
205,18-03-2020,Jammu and Kashmir,3,0,0,0,33.45,76.24
206,18-03-2020,Ladakh,8,0,0,0,34.1,77.34
207,18-03-2020,Uttar Pradesh,15,1,5,0,27.59998069,78.05000565
208,18-03-2020,Uttarakhand,1,0,0,0,30.32040895,78.05000565
209,18-03-2020,West Bengal,1,0,0,0,22.58039044,88.32994665
210,19-03-2020,Andhra Pradesh,2,0,0,0,14.7504291,78.57002559
211,19-03-2020,Chhattisgarh,1,0,0,0,22.09042035,82.15998734
212,19-03-2020,Delhi,11,1,3,1,28.6699929,77.23000403
213,19-03-2020,Haryana,3,14,0,0,28.45000633,77.01999101
214,19-03-2020,Karnataka,14,0,0,1,12.57038129,76.91999711
215,19-03-2020,Kerala,25,2,3,0,8.900372741,76.56999263
216,19-03-2020,Maharashtra,44,3,0,1,19.25023195,73.16017493
217,19-03-2020,Odisha,1,0,0,0,19.82042971,85.90001746
218,19-03-2020,Puducherry,1,0,0,0,11.93499371,79.83000037
219,19-03-2020,Punjab,2,0,0,1,31.51997398,75.98000281
220,19-03-2020,Rajasthan,5,2,3,0,26.44999921,74.63998124
221,19-03-2020,Tamil Nadu,2,0,1,0,12.92038576,79.15004187
222,19-03-2020,Telengana,4,2,1,0,18.1124,79.0193
223,19-03-2020,Chandigarh,1,0,0,0,30.71999697,76.78000565
224,19-03-2020,Jammu and Kashmir,4,0,0,0,33.45,76.24
225,19-03-2020,Ladakh,8,0,0,0,34.1,77.34
226,19-03-2020,Uttar Pradesh,18,1,9,0,27.59998069,78.05000565
227,19-03-2020,Uttarakhand,1,0,0,0,30.32040895,78.05000565
228,19-03-2020,West Bengal,1,0,0,0,22.58039044,88.32994665
229,20-03-2020,Andhra Pradesh,3,0,0,0,14.7504291,78.57002559
230,20-03-2020,Chhattisgarh,1,0,0,0,22.09042035,82.15998734
231,20-03-2020,Delhi,16,1,5,1,28.6699929,77.23000403
232,20-03-2020,Gujarat,5,0,0,0,22.2587,71.1924
233,20-03-2020,Haryana,3,14,0,0,28.45000633,77.01999101
234,20-03-2020,Karnataka,15,0,1,1,12.57038129,76.91999711
235,20-03-2020,Kerala,26,2,3,0,8.900372741,76.56999263
236,20-03-2020,Maharashtra,49,3,0,1,19.25023195,73.16017493
237,20-03-2020,Odisha,2,0,0,0,19.82042971,85.90001746
238,20-03-2020,Puducherry,1,0,0,0,11.93499371,79.83000037
239,20-03-2020,Punjab,2,0,0,1,31.51997398,75.98000281
240,20-03-2020,Rajasthan,15,2,3,0,26.44999921,74.63998124
241,20-03-2020,Tamil Nadu,3,0,1,0,12.92038576,79.15004187
242,20-03-2020,Telengana,8,9,1,0,18.1124,79.0193
243,20-03-2020,Chandigarh,1,0,0,0,30.71999697,76.78000565
244,20-03-2020,Jammu and Kashmir,4,0,0,0,33.45,76.24
245,20-03-2020,Ladakh,10,0,0,0,34.1,77.34
246,20-03-2020,Uttar Pradesh,22,1,9,0,27.59998069,78.05000565
247,20-03-2020,Uttarakhand,3,0,0,0,30.32040895,78.05000565
248,20-03-2020,West Bengal,2,0,0,0,22.58039044,88.32994665
249,21-03-2020,Andhra Pradesh,3,0,0,0,14.7504291,78.57002559
250,21-03-2020,Chhattisgarh,1,0,0,0,22.09042035,82.15998734
251,21-03-2020,Delhi,25,1,5,1,28.6699929,77.23000403
252,21-03-2020,Gujarat,7,0,0,0,22.2587,71.1924
253,21-03-2020,Haryana,3,14,0,0,28.45000633,77.01999101
254,21-03-2020,Himachal Pradesh,2,0,0,0,31.10002545,77.16659704
255,21-03-2020,Karnataka,15,0,1,1,12.57038129,76.91999711
256,21-03-2020,Kerala,33,7,3,0,8.900372741,76.56999263
257,21-03-2020,Madhya Pradesh,4,0,0,0,21.30039105,76.13001949
258,21-03-2020,Maharashtra,60,3,0,1,19.25023195,73.16017493
259,21-03-2020,Odisha,2,0,0,0,19.82042971,85.90001746
260,21-03-2020,Puducherry,1,0,0,0,11.93499371,79.83000037
261,21-03-2020,Punjab,13,0,0,1,31.51997398,75.98000281
262,21-03-2020,Rajasthan,15,2,3,0,26.44999921,74.63998124
263,21-03-2020,Tamil Nadu,3,0,1,0,12.92038576,79.15004187
264,21-03-2020,Telengana,10,11,1,0,18.1124,79.0193
265,21-03-2020,Chandigarh,1,0,0,0,30.71999697,76.78000565
266,21-03-2020,Jammu and Kashmir,4,0,0,0,33.45,76.24
267,21-03-2020,Ladakh,13,0,0,0,34.1,77.34
268,21-03-2020,Uttar Pradesh,23,1,9,0,27.59998069,78.05000565
269,21-03-2020,Uttarakhand,3,0,0,0,30.32040895,78.05000565
270,21-03-2020,West Bengal,3,0,0,0,22.58039044,88.32994665
271,22-03-2020,Andhra Pradesh,5,0,0,0,14.7504291,78.57002559
272,22-03-2020,Bihar,2,0,0,1,25.78541445,87.4799727
273,22-03-2020,Chhattisgarh,1,0,0,0,22.09042035,82.15998734
274,22-03-2020,Delhi,28,1,5,1,28.6699929,77.23000403
275,22-03-2020,Gujarat,18,0,0,1,22.2587,71.1924
276,22-03-2020,Haryana,7,14,0,0,28.45000633,77.01999101
277,22-03-2020,Himachal Pradesh,2,0,0,0,31.10002545,77.16659704
278,22-03-2020,Karnataka,26,0,2,1,12.57038129,76.91999711
279,22-03-2020,Kerala,45,7,3,0,8.900372741,76.56999263
280,22-03-2020,Madhya Pradesh,4,0,0,0,21.30039105,76.13001949
281,22-03-2020,Maharashtra,64,3,0,2,19.25023195,73.16017493
282,22-03-2020,Odisha,2,0,0,0,19.82042971,85.90001746
283,22-03-2020,Puducherry,1,0,0,0,11.93499371,79.83000037
284,22-03-2020,Punjab,21,0,0,1,31.51997398,75.98000281
285,22-03-2020,Rajasthan,22,2,3,0,26.44999921,74.63998124
286,22-03-2020,Tamil Nadu,5,2,1,0,12.92038576,79.15004187
287,22-03-2020,Telengana,11,11,1,0,18.1124,79.0193
288,22-03-2020,Chandigarh,5,0,0,0,30.71999697,76.78000565
289,22-03-2020,Jammu and Kashmir,4,0,0,0,33.45,76.24
290,22-03-2020,Ladakh,13,0,0,0,34.1,77.34
291,22-03-2020,Uttar Pradesh,26,1,9,0,27.59998069,78.05000565
292,22-03-2020,Uttarakhand,3,0,0,0,30.32040895,78.05000565
293,22-03-2020,West Bengal,4,0,0,0,22.58039044,88.32994665
294,23-03-2020,Andhra Pradesh,7,0,0,0,14.7504291,78.57002559
295,23-03-2020,Bihar,2,0,0,1,25.78541445,87.4799727
296,23-03-2020,Chhattisgarh,1,0,0,0,22.09042035,82.15998734
297,23-03-2020,Delhi,30,1,6,1,28.6699929,77.23000403
298,23-03-2020,Gujarat,29,0,0,1,22.2587,71.1924
299,23-03-2020,Haryana,12,14,11,0,28.45000633,77.01999101
300,23-03-2020,Himachal Pradesh,3,0,0,1,31.10002545,77.16659704
301,23-03-2020,Karnataka,37,0,2,1,12.57038129,76.91999711
302,23-03-2020,Kerala,87,7,4,0,8.900372741,76.56999263
303,23-03-2020,Madhya Pradesh,7,0,0,0,21.30039105,76.13001949
304,23-03-2020,Maharashtra,84,3,0,2,19.25023195,73.16017493
305,23-03-2020,Odisha,2,0,0,0,19.82042971,85.90001746
306,23-03-2020,Puducherry,1,0,0,0,11.93499371,79.83000037
307,23-03-2020,Punjab,21,0,0,1,31.51997398,75.98000281
308,23-03-2020,Rajasthan,31,2,3,0,26.44999921,74.63998124
309,23-03-2020,Tamil Nadu,10,2,1,0,12.92038576,79.15004187
310,23-03-2020,Telengana,22,11,1,0,18.1124,79.0193
311,23-03-2020,Chandigarh,6,0,0,0,30.71999697,76.78000565
312,23-03-2020,Jammu and Kashmir,4,0,0,0,33.45,76.24
313,23-03-2020,Ladakh,13,0,0,0,34.1,77.34
314,23-03-2020,Uttar Pradesh,32,1,9,0,27.59998069,78.05000565
315,23-03-2020,Uttarakhand,3,0,0,0,30.32040895,78.05000565
316,23-03-2020,West Bengal,7,0,0,1,22.58039044,88.32994665
